,1,2,4,8
blackscholes,1.0,1.1963467311619504,2.6070505721668513,3.3642522560669015
canneal,1.0,1.351421585231603,1.9324988080011503,2.574982604398818
dedup,1.0,1.7278096664171032,2.064407116588808,2.1932418162618794
ferret,1.0,1.940099309820506,3.3006841078808824,3.843399578759105
freqmine,1.0,1.7563629766344866,3.84647182425979,4.768872973920292
radix,1.0,1.7449426352625355,3.5508226572153214,5.418378485660415
vips,1.0,1.9455125234060697,3.7196583014320144,4.315458321338981
