,cpu,l1d,l1i,l2,llc,membw,no_int_time
blackscholes,1.265765765765766,1.3254504504504505,1.5360360360360361,1.3277027027027026,1.5472972972972974,1.4009009009009008,0.888
canneal,1.0777103331451159,1.3028656126482214,1.3751411631846415,1.2737859966120837,1.8245341614906834,1.3342038396386222,14.168
dedup,1.6899735656576937,1.354145723965896,2.209724859451208,1.3225362076026657,2.254328158159276,1.7593357906102236,26.859
ferret,2.1198410272088046,1.3787832467135432,2.499235707734638,1.5064200550290432,2.6251910730663406,2.0638948333842864,6.542
freqmine,2.0855542095699575,1.051029678982435,2.052241066020594,1.093579648697759,1.7919442761962445,1.6005451241671715,6.604
radix,1.0829607078298924,1.2063552468842165,1.1078552627406208,1.2039133606063488,1.65775536739289,1.1066818888148922,63.066
vips,1.6864746853344648,1.7778249186819404,1.8394675434874843,1.7613226559185406,1.920750247489747,1.8156996888700325,113.136
