,1,2,3,mean,std_dev
blackscholes,1.0,2.0,1.0,1.3333333333333333,0.5773502691896257
canneal,1.0,1.0,1.0,1.0,0.0
dedup,20.0,33.0,20.0,24.333333333333332,7.505553499465135
ferret,93.0,94.0,93.0,93.33333333333333,0.5773502691896257
freqmine,115.0,104.0,104.0,107.66666666666667,6.350852961085883
radix,1.0,1.0,0.0,0.6666666666666666,0.5773502691896258
vips,3.0,4.0,3.0,3.3333333333333335,0.5773502691896258
total time,234.0,239.0,222.0,231.66666666666666,8.736894948054104
